dir, storageClass,count
deepCoadd_calexp,ExposureF,46739
deepCoadd_calexp_background,Background,46739
deepCoadd_det,SourceCatalog,46739
deepCoadd,ExposureF,46739
deepCoadd_nImage,ImageU,46739
deepCoadd_ref_schema,SourceCatalog,54
deepCoadd_mergeDet_schema,SourceCatalog,50
deepCoadd_deblendedFlux_schema,SourceCatalog,50
deepCoadd_forced_src_schema,SourceCatalog,57
deepCoadd_meas_schema,SourceCatalog,54
deepCoadd_peak_schema,PeakCatalog,50
deepCoadd_deblendedFlux,SourceCatalog,46704
deepCoadd_measMatch,Catalog,46704
deepCoadd_forced_src,SourceCatalog,46704
deepCoadd_measMatchFull,Catalog,46704
deepCoadd_meas,SourceCatalog,46704
deepCoadd_ref,SourceCatalog,7784
deepCoadd_mergeDet,SourceCatalog,7784
deepCoadd_psfMatchedWarp,ExposureF,4445567
deepCoadd_directWarp,ExposureF,4450147
assembleCoadd_metadata,PropertySet,46739
forcedPhotCoadd_metadata,PropertySet,46704
assembleCoadd_config,Config,49
forcedPhotCoadd_config,Config,57
goodSeeingCoadd,ExposureF,46739
goodSeeingCoadd_nImage,ImageU,46739
deepCoadd_obj,DataFrame,7784
deepCoadd_inputMap,HealSparseMap,46739
deepCoadd_psf_maglim_map_weighted_mean,HealSparseMap,952
deepCoadd_exposure_time_map_sum,HealSparseMap,952
deepCoadd_sky_background_map_weighted_mean,HealSparseMap,952
deepCoadd_psf_size_map_weighted_mean,HealSparseMap,952
deepCoadd_psf_e2_map_weighted_mean,HealSparseMap,952
deepCoadd_psf_e1_map_weighted_mean,HealSparseMap,952
deepCoadd_dcr_e2_map_weighted_mean,HealSparseMap,952
deepCoadd_dcr_e1_map_weighted_mean,HealSparseMap,952
deepCoadd_sky_noise_map_weighted_mean,HealSparseMap,952
deepCoadd_dcr_dra_map_weighted_mean,HealSparseMap,952
deepCoadd_dcr_ddec_map_weighted_mean,HealSparseMap,952
assembleCoadd_log,ButlerLogRecords,46737
forcedPhotCoadd_log,ButlerLogRecords,46703
deepCoadd_dcr_ddec_consolidated_map_weighted_mean,HealSparseMap,11
deepCoadd_dcr_e1_consolidated_map_weighted_mean,HealSparseMap,11
deepCoadd_sky_background_consolidated_map_weighted_mean,HealSparseMap,11
deepCoadd_psf_e2_consolidated_map_weighted_mean,HealSparseMap,11
deepCoadd_psf_maglim_consolidated_map_weighted_mean,HealSparseMap,12
deepCoadd_dcr_e2_consolidated_map_weighted_mean,HealSparseMap,11
deepCoadd_exposure_time_consolidated_map_sum,HealSparseMap,11
deepCoadd_psf_size_consolidated_map_weighted_mean,HealSparseMap,11
deepCoadd_psf_e1_consolidated_map_weighted_mean,HealSparseMap,11
deepCoadd_sky_noise_consolidated_map_weighted_mean,HealSparseMap,11
deepCoadd_dcr_dra_consolidated_map_weighted_mean,HealSparseMap,11
