dir,count
deepCoadd_forced_src,46704
deepCoadd_calexp_background,46739
forcedPhotCoadd_log,46703
deepCoadd_deblendedFlux_schema,50
deepCoadd_deblendedFlux,46704
deepCoadd_nImage,46739
deepCoadd_dcr_ddec_consolidated_map_weighted_mean,11
deepCoadd_psf_maglim_consolidated_map_weighted_mean,12
forcedPhotCoadd_metadata,46704
goodSeeingCoadd_nImage,46739
deepCoadd_sky_noise_consolidated_map_weighted_mean,11
deepCoadd_meas_schema,54
deepCoadd_directWarp,4450147
deepCoadd_dcr_dra_map_weighted_mean,952
deepCoadd_ref_schema,54
deepCoadd_psf_size_consolidated_map_weighted_mean,11
deepCoadd_ref,7784
deepCoadd_psfMatchedWarp,4445567
deepCoadd_psf_e2_consolidated_map_weighted_mean,11
deepCoadd_inputMap,46739
deepCoadd_sky_background_consolidated_map_weighted_mean,11
assembleCoadd_config,49
deepCoadd_dcr_e1_map_weighted_mean,952
forcedPhotCoadd_config,57
deepCoadd_det_schema,49
deepCoadd_calexp,46739
deepCoadd_psf_e1_consolidated_map_weighted_mean,11
deepCoadd_dcr_ddec_map_weighted_mean,952
deepCoadd,46739
deepCoadd_mergeDet,7784
deepCoadd_peak_schema,50
deepCoadd_obj,7784
deepCoadd_psf_e2_map_weighted_mean,952
deepCoadd_psf_maglim_map_weighted_mean,952
deepCoadd_dcr_e1_consolidated_map_weighted_mean,11
deepCoadd_forced_src_schema,57
goodSeeingCoadd,46739
deepCoadd_measMatchFull,46704
deepCoadd_det,46739
deepCoadd_mergeDet_schema,50
assembleCoadd_metadata,46739
deepCoadd_psf_size_map_weighted_mean,952
deepCoadd_sky_background_map_weighted_mean,952
deepCoadd_psf_e1_map_weighted_mean,952
deepCoadd_measMatch,46704
assembleCoadd_log,46737
deepCoadd_dcr_e2_consolidated_map_weighted_mean,11
deepCoadd_exposure_time_map_sum,952
deepCoadd_sky_noise_map_weighted_mean,952
deepCoadd_dcr_dra_consolidated_map_weighted_mean,11
deepCoadd_dcr_e2_map_weighted_mean,952
deepCoadd_exposure_time_consolidated_map_sum,11
deepCoadd_meas,46704
