fname,ncalls,tottime,percall_tottime,cumtime,percall_cumtime,file_name,line_number
run_until_complete,1,3e-05,3e-05,4447.59363,4447.59363,base_events.py,617
run_forever,1,0.50563,0.50563,4447.59353,4447.59353,base_events.py,593
_run_once,207488,35.24118,0.00017,4447.08787,0.02143,base_events.py,1845
_run,25619986,27.10322,0.0,4365.19832,0.00017,events.py,78
<method 'run' of '_contextvars.Context' objects>,25619986,148.35402,1e-05,4338.0951,0.00017,~,0
_read_ready,8846526,9.74897,0.0,2937.85725,0.00033,selector_events.py,951
_read_ready__get_buffer,8846526,29.82865,0.0,2928.10828,0.00033,selector_events.py,954
buffer_updated,8846526,26.86567,0.0,2409.49175,0.00027,sslproto.py,432
_do_read,16595727,36.75064,0.0,2146.58804,0.00013,sslproto.py,720
_do_read__copied,10187843,115.30074,1e-05,2036.91994,0.0002,sslproto.py,771
read,23370,0.0693,0.0,0.10177,0.0,streams.py,617
<method 'read' of '_ssl._SSLSocket' objects>,134516000,1279.30473,1e-05,1279.30473,1e-05,~,0
download_and_write,8863173,6.66231,0.0,1201.80117,0.00014,async_http_transfer.py,23
fetch,8828118,5.77837,0.0,1187.84245,0.00013,async_http_transfer.py,12
<method 'join' of 'bytes' objects>,17517649,1125.72688,6e-05,1125.72688,6e-05,~,0
<method 'recv_into' of '_socket.socket' objects>,8846526,474.25158,5e-05,474.25158,5e-05,~,0
data_received,8800270,227.37307,3e-05,378.04263,4e-05,client_proto.py,201
<method 'write' of '_ssl.MemoryBIO' objects>,8846526,269.48436,3e-05,269.48436,3e-05,~,0
readany,17600540,18.35038,0.0,191.16872,1e-05,streams.py,387
feed_data,11685,0.04322,0.0,0.14348,1e-05,streams.py,600
_read_nowait,8811955,14.80317,0.0,109.3978,1e-05,streams.py,490
_read_nowait_chunk,8800270,25.98091,0.0,90.69573,1e-05,streams.py,463
call_soon,16708633,16.72647,0.0,72.00149,0.0,base_events.py,751
_wait,17577170,23.89656,0.0,63.42054,0.0,streams.py,288
set_result,8800270,8.39138,0.0,62.89651,1e-05,helpers.py,808
resume_reading,7749137,7.15521,0.0,44.09276,1e-05,sslproto.py,134
<method 'set_result' of '_asyncio.Future' objects>,8851992,10.76154,0.0,53.20293,1e-05,~,0
_call_soon,16708633,22.12812,0.0,51.33737,0.0,base_events.py,780
_process_outgoing,10204006,16.14131,0.0,49.0997,0.0,sslproto.py,711
resume,7749137,8.48874,0.0,43.81495,1e-05,sslproto.py,863
_resume_reading,7749137,7.87432,0.0,36.93755,0.0,sslproto.py,859
pause_reading,7749137,6.37382,0.0,9.08691,0.0,sslproto.py,126
select,207488,11.51966,6e-05,29.83659,0.00014,selectors.py,451
__init__,1,0.0,0.0,0.0,0.0,selectors.py,63
__aenter__,1,0.0,0.0,0.0,0.0,client.py,1158
_request,39533,0.78236,2e-05,26.84327,0.00068,client.py,383
_control_ssl_reading,16595727,14.88916,0.0,24.65035,0.0,sslproto.py,874
<method 'append' of 'list' objects>,142385508,20.61496,0.0,20.61496,0.0,~,0
__enter__,4,0.0,0.0,0.0,0.0,<frozen importlib._bootstrap>,1026
_control_app_writing,10204006,12.14755,0.0,17.1895,0.0,sslproto.py,816
send,11685,0.56394,5e-05,16.13521,0.00138,client_reqrep.py,651
write_headers,11685,0.2282,2e-05,14.36392,0.00123,http_writer.py,121
_write,2103671,0.99368,0.0,1.3066,0.0,_quoting_c.pyx,260
write,11685,0.08651,1e-05,0.10357,1e-05,http_writer.py,78
<method 'read' of '_ssl.MemoryBIO' objects>,10205456,13.93612,0.0,13.93612,0.0,~,0
_write_appdata,11685,0.13028,1e-05,13.90653,0.00119,sslproto.py,671
_do_write,11685,0.12314,1e-05,13.7674,0.00118,sslproto.py,695
__exit__,4,0.0,0.0,0.0,0.0,<frozen importlib._bootstrap>,1030
_process_events,207488,9.57346,5e-05,13.12074,6e-05,selector_events.py,733
<method 'poll' of 'select.epoll' objects>,207488,13.03996,6e-05,13.03996,6e-05,~,0
<method 'write' of '_ssl._SSLSocket' objects>,11685,12.88445,0.0011,12.88445,0.0011,~,0
get_buffer,8846526,9.77892,0.0,11.6342,0.0,sslproto.py,423
<built-in method builtins.len>,63937312/63913942,11.34507,0.0,11.36094,0.0,~,0
_get_read_buffer_size,16595727,9.7612,0.0,9.7612,0.0,sslproto.py,889
current_task,8825154,3.98966,0.0,5.26519,0.0,tasks.py,35
_reschedule_timeout,16561092,9.51528,0.0,9.51528,0.0,client_proto.py,180
create_future,8851991,6.65876,0.0,8.04533,0.0,base_events.py,425
write_fits_file,46740,0.30318,1e-05,5.9187,0.00013,async_http_transfer.py,16
<method 'append' of 'collections.deque' objects>,34422855,5.36567,0.0,5.36567,0.0,~,0
_get_write_buffer_size,10204006,5.04195,0.0,5.04195,0.0,sslproto.py,845
<method 'pop' of 'list' objects>,8822648,4.80302,0.0,4.80302,0.0,~,0
run_in_executor,35498,0.35824,1e-05,4.67445,0.00013,base_events.py,815
get_debug,25659576,4.31093,0.0,4.31093,0.0,base_events.py,1940
_key_from_fd,8878543,4.0378,0.0,4.0378,0.0,selectors.py,275
_check_closed,16787109,3.97686,0.0,3.97686,0.0,base_events.py,517
<method 'popleft' of 'collections.deque' objects>,34446528,3.92234,0.0,3.92234,0.0,~,0
_add_callback,8878543,2.86302,0.0,3.54728,0.0,base_events.py,1830
connect,27848,0.32953,1e-05,2.89297,0.0001,connector.py,494
submit,35498,0.64094,2e-05,2.78013,8e-05,thread.py,161
_build_url,11685,0.01652,0.0,2.77124,0.00024,client.py,375
__new__,1,0.0,0.0,0.0031,0.0031,ssl.py,492
_open,23370,0.2053,1e-05,2.7278,0.00012,__init__.py,66
_pause_reading,7749137,2.71309,0.0,2.71309,0.0,sslproto.py,856
_do_handshake,3028,0.01819,1e-05,2.67847,0.00088,sslproto.py,555
do_handshake,3028,0.00877,0.0,2.14188,0.00071,ssl.py,977
<method 'do_handshake' of '_ssl._SSLSocket' objects>,3028,2.13311,0.0007,2.13311,0.0007,~,0
feed_eof,11685,0.06824,1e-05,1.94549,0.00017,streams.py,172
_drop_timeout,7766686,1.93069,0.0,1.93069,0.0,client_proto.py,175
_response_eof,11685,0.14459,1e-05,1.8643,0.00016,client_reqrep.py,1006
_read_from_self,27539,0.21724,1e-05,1.83698,7e-05,selector_events.py,116
__call__,23370,0.00377,0.0,0.00377,0.0,_quoting_c.pyx,283
<method 'done' of '_asyncio.Future' objects>,8860648,1.77037,0.0,1.77037,0.0,~,0
_do_quote,35055,0.43065,1e-05,1.73725,5e-05,_quoting_c.pyx,220
_release_connection,46740,0.09451,0.0,1.6624,4e-05,client_reqrep.py,1068
<built-in method _contextvars.copy_context>,7774534,1.64696,0.0,1.64696,0.0,~,0
assert_timeout,8811955,1.6413,0.0,1.6413,0.0,helpers.py,706
_set_state,7506,0.0129,0.0,0.0129,0.0,sslproto.py,490
<method 'recv' of '_socket.socket' objects>,55079,1.57651,3e-05,1.57651,3e-05,~,0
release,1,1e-05,1e-05,1e-05,1e-05,<frozen importlib._bootstrap>,125
wrap_future,35498,0.30649,1e-05,1.46736,4e-05,futures.py,409
__aexit__,2,1e-05,0.0,0.00908,0.00454,client.py,1161
_copy_future_state,35498,0.29178,1e-05,1.39638,4e-05,futures.py,345
_create_connection,6056,0.02202,0.0,1.37487,0.00023,connector.py,901
_create_direct_connection,6056,0.06163,1e-05,1.34348,0.00022,connector.py,1146
<method 'get' of 'dict' objects>,8885098,1.3025,0.0,1.32719,0.0,~,0
method,23370,0.11157,0.0,1.29559,6e-05,utils.py,41
update_cookies,11685,0.00362,0.0,0.00362,0.0,client_reqrep.py,461
_wrap_create_connection,4542,0.03545,1e-05,1.06283,0.00023,connector.py,980
_release,11685,0.11077,1e-05,1.03398,9e-05,connector.py,649
create_connection,4542,0.02679,1e-05,0.97575,0.00021,base_events.py,987
urlsplit,23370,0.63189,3e-05,0.86611,4e-05,parse.py,452
_release_acquired,11685,0.07374,1e-05,0.80349,7e-05,connector.py,634
