fname,cumtime_16,cumtime_32,cumtime_64,cumtime_128
run_until_complete,6526.00803,4565.07755,4447.59363,4263.19713
run_forever,6526.00794,4565.07745,4447.59353,4263.19703
_run_once,6514.96686,4562.32991,4447.08787,4262.96789
_run,4855.56001,4365.34411,4365.19832,4185.51166
<method 'run' of '_contextvars.Context' objects>,4806.15647,4336.59076,4338.0951,4156.75093
_read_ready,3591.1455,2972.29872,2937.85725,2906.69481
_read_ready__get_buffer,3573.40242,2962.13627,2928.10828,2897.2188
buffer_updated,2917.51725,2443.07954,2409.49175,2350.27754
_do_read,2736.32404,2262.61227,2146.58804,2055.03585
_do_read__copied,2543.6276,2145.05113,2036.91994,1947.31089
